Start Date,End Date,Approving,Disapproving,Unsure/No Data,
4/11/2017,4/13/2017,40,55,5,
4/10/2017,4/12/2017,40,54,6,
4/9/2017,4/11/2017,41,52,7,
4/8/2017,4/10/2017,40,54,6,
4/7/2017,4/9/2017,40,53,7,
4/6/2017,4/8/2017,40,54,6,
4/5/2017,4/7/2017,40,54,6,
4/4/2017,4/6/2017,40,54,6,
4/3/2017,4/5/2017,41,53,6,
4/2/2017,4/4/2017,42,52,6,
4/1/2017,4/3/2017,39,55,6,
3/31/2017,4/2/2017,38,57,5,
3/30/2017,4/1/2017,38,57,5,
3/29/2017,3/31/2017,40,56,4,
3/28/2017,3/30/2017,38,56,6,
3/27/2017,3/29/2017,38,57,5,
3/26/2017,3/28/2017,35,59,6,
3/25/2017,3/27/2017,36,56,8,
3/24/2017,3/26/2017,36,57,7,
3/23/2017,3/25/2017,40,54,6,
3/22/2017,3/24/2017,41,54,5,
3/21/2017,3/23/2017,41,54,5,
3/20/2017,3/22/2017,39,56,5,
3/19/2017,3/21/2017,40,55,5,
3/18/2017,3/20/2017,39,56,5,
3/17/2017,3/19/2017,39,55,6,
3/16/2017,3/18/2017,37,58,5,
3/15/2017,3/17/2017,40,55,5,
3/14/2017,3/16/2017,41,54,5,
3/13/2017,3/15/2017,42,53,5,
3/12/2017,3/14/2017,40,54,6,
3/11/2017,3/13/2017,39,55,6,
3/10/2017,3/12/2017,42,51,7,
3/9/2017,3/11/2017,45,49,6,
3/8/2017,3/10/2017,44,49,7,
3/7/2017,3/9/2017,42,52,6,
3/6/2017,3/8/2017,41,53,6,
3/5/2017,3/7/2017,42,53,5,
3/4/2017,3/6/2017,43,51,6,
3/3/2017,3/5/2017,44,50,6,
3/2/2017,3/4/2017,43,50,7,
3/1/2017,3/3/2017,43,51,6,
2/28/2017,3/2/2017,43,51,6,
2/27/2017,3/1/2017,43,51,6,
2/26/2017,2/28/2017,43,52,5,
2/25/2017,2/27/2017,42,54,4,
2/24/2017,2/26/2017,42,54,4,
2/23/2017,2/25/2017,41,54,5,
2/22/2017,2/24/2017,41,53,6,
2/21/2017,2/23/2017,43,52,5,
2/20/2017,2/22/2017,43,52,5,
2/19/2017,2/21/2017,42,52,6,
2/18/2017,2/20/2017,41,53,6,
2/17/2017,2/19/2017,42,53,5,
2/16/2017,2/18/2017,41,55,4,
2/15/2017,2/17/2017,40,55,5,
2/14/2017,2/16/2017,38,56,6,
2/13/2017,2/15/2017,40,54,6,
2/12/2017,2/14/2017,40,53,7,
2/11/2017,2/13/2017,40,54,6,
2/10/2017,2/12/2017,40,54,6,
2/9/2017,2/11/2017,40,55,5,
2/8/2017,2/10/2017,41,53,6,
2/7/2017,2/9/2017,42,52,6,
2/6/2017,2/8/2017,43,52,5,
2/5/2017,2/7/2017,43,52,5,
2/4/2017,2/6/2017,42,54,4,
2/3/2017,2/5/2017,42,52,6,
2/2/2017,2/4/2017,42,53,5,
2/1/2017,2/3/2017,44,50,6,
1/31/2017,2/2/2017,43,52,5,
1/30/2017,2/1/2017,43,52,5,
1/29/2017,1/31/2017,43,52,5,
1/28/2017,1/30/2017,43,51,6,
1/27/2017,1/29/2017,43,50,7,
1/26/2017,1/28/2017,42,51,7,
1/25/2017,1/27/2017,42,50,8,
1/24/2017,1/26/2017,45,48,7,
1/23/2017,1/25/2017,46,45,9,
1/22/2017,1/24/2017,46,45,9,
1/21/2017,1/23/2017,45,46,9,
1/20/2017,1/22/2017,45,45,10,
